Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX80662I36100T,Intel,Core i3-6100T,516,59.7,4479,https://cpu.userbenchmark.com/SpeedTest/40317/IntelR-CoreTM-i3-6100T-CPU---320GHz
CPU,,Intel,Core i7-4610M,517,59.7,3770,https://cpu.userbenchmark.com/SpeedTest/11649/IntelR-CoreTM-i7-4610M-CPU---300GHz
CPU,,Intel,Core i7-2720QM,518,59.5,7179,https://cpu.userbenchmark.com/SpeedTest/532/IntelR-CoreTM-i7-2720QM-CPU---220GHz
CPU,YD240GC6FBBOX,AMD,Athlon 240GE,519,59.3,399,https://cpu.userbenchmark.com/SpeedTest/705151/AMD-Athlon-240GE-with-Radeon-Vega-Graphics
CPU,,Intel,Pentium G3470,520,59.3,123,https://cpu.userbenchmark.com/SpeedTest/28614/IntelR-PentiumR-CPU-G3470---360GHz
CPU,,Intel,Xeon E5-2630 0,521,59.3,1553,https://cpu.userbenchmark.com/SpeedTest/6512/IntelR-XeonR-CPU-E5-2630-0---230GHz
CPU,,Intel,Core i3-1005G1,522,59.2,13037,https://cpu.userbenchmark.com/SpeedTest/906918/IntelR-CoreTM-i3-1005G1-CPU---120GHz
CPU,,Intel,Xeon E5-2620 0,523,59.2,2673,https://cpu.userbenchmark.com/SpeedTest/5895/IntelR-XeonR-CPU-E5-2620-0---200GHz
CPU,,Intel,Xeon E5520,524,59,1258,https://cpu.userbenchmark.com/SpeedTest/5884/IntelR-XeonR-CPU-----------E5520----227GHz
CPU,,Intel,Core i3-2105,525,59,938,https://cpu.userbenchmark.com/SpeedTest/2747/IntelR-CoreTM-i3-2105-CPU---310GHz
CPU,,AMD,FX-8120,526,58.9,23594,https://cpu.userbenchmark.com/SpeedTest/173/AMD-FXtm-8120-Eight-Core-Processor
CPU,,Intel,Xeon L5520,527,58.8,153,https://cpu.userbenchmark.com/SpeedTest/6285/IntelR-XeonR-CPU-----------L5520----227GHz
CPU,HDZ965FBGMBOX,AMD,Phenom II X4 965,528,58.8,45546,https://cpu.userbenchmark.com/AMD-Phenom-II-X4-965/Rating/606
CPU,,Intel,Core i7-2670QM,529,58.7,47359,https://cpu.userbenchmark.com/Intel-Core-i7-2670QM/Rating/1982
CPU,,Intel,Core i3-2130,530,58.6,6805,https://cpu.userbenchmark.com/SpeedTest/424/IntelR-CoreTM-i3-2130-CPU---340GHz
CPU,,Intel,Core i3-3210,531,58.6,5599,https://cpu.userbenchmark.com/SpeedTest/3090/IntelR-CoreTM-i3-3210-CPU---320GHz
CPU,YD3000C6FHBOX,AMD,Athlon 3000G,532,58.6,6358,https://cpu.userbenchmark.com/SpeedTest/968952/AMD-Athlon-3000G-with-Radeon-Vega-Graphics
CPU,,Intel,Core i7-5550U,533,58.5,95,https://cpu.userbenchmark.com/SpeedTest/203876/IntelR-CoreTM-i7-5550U-CPU---200GHz
CPU,HDT55TFBGRBOX,AMD,Phenom II X6 1055T,534,58.4,22810,https://cpu.userbenchmark.com/AMD-Phenom-II-X6-1055T/Rating/2003
